total_spending_usd,artist_id,artist_name,n_collection,collected_artists,page_link,twitter
49069.52038999999,jstn,justin ouellette,31,hugoboesch;dom;ewanblendsstuff;croix;chrispiascik;pinot;timpers;hugoboesch;andreoshea;fraserdavidson;kate-the-cursed;tylerjma;johanpetit;stephenong;kevinburg;dmitri;fernando_tendero;hugoboesch;chubby;blaze;kevinburg;artsygamex;leeruby;kajdax;leeruby;marcelpiekarski;charlespatterson;nic_hamilton;alessio;raccoonnook;gold,https://foundation.app/jstn,https://twitter.com/jstn
48135.260065999995,Pharaoh,k1ng,8,amirobe;canaksu;encrypted;nolanmartinart;spacerocket_art;grassetti;nicebleed;donglu,https://foundation.app/Pharaoh,https://twitter.com/risktakingsul
46546.731980000004,dicey_apple,@dicey_apple,32,ryptorn;mehmetgeren;emilymayrose;dechambo;pokraslampas;edit__3d;marina_troino;patricemurciano;sub_sensus;unsungillusionist;mich_viljoen;reuko;stefankoidl;rezaafshar;ftgos;blhue;danileoni;masterpupil;fredrik_rattzen;paschamo;steffenheidemann;willzwey;arinabbart;joonas;juliamarzochi;vel;jimmy-duda;roogomes;fuatd;muhcine;frickltd;kaleb,https://foundation.app/dicey_apple,
46313.2179,jdor,jdor,21,pokraslampas;lipcomarella;artinpublicspace;devmoore;notaperson;etja;cryptofantasy;straybits;kkomardin;oizo3000;jermainerogers;shakkablood;jermainerogers;diego_bergia;probzzzz;kantemir_balagov;sadan_vague;alexpalmaconcept;orhan_sayin;artislife;pricq,https://foundation.app/jdor,https://twitter.com/thatjdorguy
45906.908500000005,cryptonio123,cryptonio123,14,joeythephotographer;andreaspreis;briscoepark;diniharistd;jeffsoto;anocam;noealz;frickltd;gabriellabarouch;oveck;qfilmstv;jpierce;jacques;zeiqh,https://foundation.app/cryptonio123,
45148.858250000005,kintsugi,Kintsugi,25,timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;timsaccenti;bosslogic;bosslogic;bosslogic;bosslogic;bosslogic;bosslogic;bosslogic;bosslogic,https://foundation.app/kintsugi,https://twitter.com/KintsugiNFTs
44347.218392999996,kayvon,Kayvon,27,kitasavi;yatreda;jeremypires;markweaver;bladerenoir;yoshisodeoka;markweaver;teebs;void;ollorens;adamferriss;jzlabs;serwah;davidportebeckefeld;moeen;pixlpa;katherine;bill_posters;anf;sad_folder;smangiat;damondavis;nicolassassoon;jeff.kraus;pixlpa;chrisnovello;francoisegamma,https://foundation.app/kayvon,https://twitter.com/saturnial
43318.370491,sixnfive,Six N. Five,3,diegodiapolo;pablorochat;joangarciapons,https://foundation.app/sixnfive,
43265.613300000005,nobody,I am nobody,1,flumezawada,https://foundation.app/nobody,
42191.417896,toomuchlag,toomuchlag,18,nickvegas;omegafoxx;kash_cg_art;barnim;andreas;egor_golopolosov;robotpencil;raphaellacoste;robotpencil;brellias;wvxii;theartofsaul;rezaafshar;trsmnz;jerico;shainefer;rubahitam;lady_caballo,https://foundation.app/toomuchlag,https://twitter.com/toomuchlag_
41377.67703,sammdec,Sam Mason de Caires,20,kholetrends;tys;pilarzeta;oelhan;tys;teebs;fabiocatapano;kitasavi;uwabaki;ju_schnee;noah;kitasavi;nigelevandennis;jeff.kraus;krisandrewsmall;ryanputnam;yasly;iartsometimes;davidportebeckefeld;davidportebeckefeld,https://foundation.app/sammdec,https://twitter.com/sammdec
40890.83500000001,iki-jima,iki-jima,12,oftenminimal;taramcpherson;oftenminimal;jeffsoto;oftenminimal;jeffsoto;markinducil;jeffsoto;jirat;joelle;oftenminimal;jirat,https://foundation.app/iki-jima,
40414.0445,Shmoe,Shmoe,11,robotpencil;mrrantzau;robotpencil;robotpencil;robotpencil;mrrantzau;deweysaunders;blunt_action;bosslogic;musketon;blunt_action,https://foundation.app/Shmoe,https://twitter.com/Lendex0
39162.7654,matrix,Matrix,11,lekano;andreas;heynine;stripes;jeffsoto;kefan404;jamesvde;the_real_ian_frederick;jamesvde;davidlisser;jamesvde,https://foundation.app/matrix,
37685.747,right-click-save,Right Click Save,6,bosslogic;paulsnijder;malloryjo;hyam;hyam;tatiana,https://foundation.app/right-click-save,
37442.0,a,Harry,4,jerrymessing;theermahgerdgirl;successkid;badluckbrian,https://foundation.app/a,
37228.60716299999,Todd3CR,Todd3CR,37,julious;panjoool;lucrece;blasterrjaxx;safronov;shagun_damadia;pj_richardson;r_chl;pulkit;markmalta;benny_productions;benny_productions;lucrece;michellevonkalben;kaiwan;markmalta;raphaelerba;sb_edit1ng_;blasterrjaxx;nodia;markmalta;benny_productions;chrispiascik;lostpixels;rahimmahtab;crnovision;pj_richardson;markmalta;lostpixels;pj_richardson;pulkit;markmalta;dr_shader;stuballingerart;designershumor;ihimanshuarya;worldofjoonas,https://foundation.app/Todd3CR,https://twitter.com/todd3cr
36684.77586,aksel,Aksel,13,jeffsoto;zouassi;jeffsoto;jonbeinart;verehin;jonbeinart;petertarka;josefbsharah;nicolassassoon;petertarka;nicolassassoon;jonmonaghan;petertarka,https://foundation.app/aksel,
36562.592734,dmorey,Daryl Morey,0,,https://foundation.app/dmorey,
36175.788,taibhsiuil,Taibhsiuil,1,dechambo,https://foundation.app/taibhsiuil,
35423.084992000004,Arrky,Arrky,20,reznitsky;elizarevfx;kkomardin;mnml;listov;elizarevfx;dr911;aleyartist;maslenikovilya;mrfreeman000;kevinburg;iconseries;nickmotion;elizarevfx;liccibeam;_richardparry_;thisset;waferhero;_brianmorris_;a111ur,https://foundation.app/Arrky,https://twitter.com/Arrky1
34782.140600000006,seedphrase,DANNY,10,pirilsili;katyahavok;ibrajeez;camibus;larienne;tina_eisen;arsen__design;shavonnewong;sadexkedu;eclecticmethod,https://foundation.app/seedphrase,
